payment_id,merchant_id,customer_name,customer_email,customer_phone,amount,currency,failure_reason,failure_detail,failure_source,attempts,created_at,order_type
pay_Test_033,merch_002,Diya Patel,user033@example.com,+919846553958,49900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-25T11:28:58Z,subscription
pay_Test_034,merch_003,Arjun Bose,optout_user@example.com,+919816818112,9900,INR,PAYMENT_CANCELLED,,bank,1,2026-08-26T16:28:58Z,one_time
pay_Test_035,merch_002,Karan Gupta,user035@example.com,+919869302158,249900,INR,BAD_REQUEST_ERROR,MANDATE_REVOKED,customer,2,2026-08-22T17:28:58Z,one_time
pay_Test_036,merch_001,Sara Reddy,user036@example.com,+919859555330,249900,INR,BAD_REQUEST_ERROR,CARD_DECLINED,bank,1,2026-08-28T16:28:58Z,one_time
pay_Test_037,merch_002,Aarav Singh,user037@example.com,+919843491314,9900,INR,BAD_REQUEST_ERROR,CARD_EXPIRED,bank,1,2026-08-22T04:28:58Z,b2b
pay_Test_038,merch_002,Isha Reddy,user038@example.com,+919865337219,4999,INR,BAD_REQUEST_ERROR,MANDATE_REVOKED,customer,1,2026-08-25T04:28:58Z,subscription
pay_Test_039,merch_002,Isha Gupta,user039@example.com,+919824508349,99900,INR,BAD_REQUEST_ERROR,CARD_EXPIRED,bank,2,2026-08-23T10:28:58Z,one_time
pay_Test_040,merch_002,Meera Gupta,user040@example.com,+919839920292,4999,INR,BAD_REQUEST_ERROR,CARD_EXPIRED,bank,1,2026-08-24T07:28:58Z,one_time
pay_Test_041,merch_004,Rohan Singh,user041@example.com,+919881969657,79900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,3,2026-08-29T09:28:58Z,one_time
pay_Test_042,merch_001,Rohan Sharma,user042@example.com,+919890070438,99900,INR,BAD_REQUEST_ERROR,CARD_DECLINED,bank,1,2026-08-25T04:28:58Z,subscription
pay_Test_043,merch_002,Vikram Rao,user043@example.com,+919844188276,4999,INR,PERMANENT_FAILURE,,customer,1,2026-08-30T01:28:58Z,b2b
pay_Test_044,merch_003,Sara Nair,user044@example.com,+919867887757,9900,INR,PAYMENT_CANCELLED,,customer,3,2026-08-24T22:28:58Z,one_time
pay_Test_045,merch_003,Sara Gupta,user045@example.com,+919899508850,99900,INR,BAD_REQUEST_ERROR,MANDATE_EXPIRED,bank,1,2026-08-26T00:28:58Z,one_time
pay_Test_046,merch_003,Vikram Reddy,user046@example.com,+919864502486,249900,INR,SERVER_ERROR,,network,2,2026-08-26T08:28:58Z,one_time
pay_Test_047,merch_004,Priya Singh,user047@example.com,+919869295515,149900,INR,BAD_REQUEST_ERROR,MANDATE_REVOKED,customer,1,2026-08-22T02:28:58Z,subscription
pay_Test_048,merch_001,Sara Reddy,user048@example.com,+919848089166,249900,INR,BAD_REQUEST_ERROR,CARD_DECLINED,bank,1,2026-08-21T07:28:58Z,one_time
pay_Test_049,merch_002,Isha Gupta,user049@example.com,+919836726767,19900,INR,BAD_REQUEST_ERROR,CARD_DECLINED,bank,1,2026-08-27T02:28:58Z,subscription
pay_Test_050,merch_002,Ananya Iyer,user050@example.com,+919861536717,149900,INR,BAD_REQUEST_ERROR,MANDATE_REVOKED,customer,1,2026-08-27T21:28:58Z,subscription
pay_Test_051,merch_002,Diya Iyer,user051@example.com,+919833607110,249900,INR,BAD_REQUEST_ERROR,CARD_EXPIRED,bank,1,2026-08-22T10:28:58Z,b2b
pay_Test_052,merch_003,Kabir Bose,user052@example.com,+919869401199,249900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-22T03:28:58Z,b2b
pay_Test_053,merch_003,Ananya Bose,user053@example.com,+919843183955,49900,INR,BAD_REQUEST_ERROR,MANDATE_REVOKED,customer,2,2026-08-22T02:28:58Z,subscription
pay_Test_054,merch_002,Diya Gupta,user054@example.com,+919846468984,79900,INR,GATEWAY_ERROR,,network,1,2026-08-22T15:28:58Z,one_time
pay_Test_055,merch_002,Sara Reddy,user055@example.com,+919818620650,99900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-22T03:28:58Z,one_time
pay_Test_056,merch_001,Vikram Iyer,user056@example.com,+919887267850,99900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-25T08:28:58Z,subscription
pay_Test_057,merch_002,Vikram Khan,user057@example.com,+919875529051,29900,INR,BAD_REQUEST_ERROR,MANDATE_EXPIRED,bank,1,2026-08-23T17:28:58Z,one_time
pay_Test_058,merch_004,Vikram Reddy,user058@example.com,+919827129912,249900,INR,PAYMENT_TIMEOUT,,customer,1,2026-08-23T23:28:58Z,subscription
pay_Test_059,merch_002,Karan Iyer,user059@example.com,+919871968116,19900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-24T07:28:58Z,one_time
pay_Test_060,merch_004,Vikram Gupta,user060@example.com,+919843859311,9900,INR,GATEWAY_ERROR,,network,1,2026-08-22T16:28:58Z,b2b
pay_Test_061,merch_001,Karan Patel,user061@example.com,+919814164775,29900,INR,GATEWAY_ERROR,,network,3,2026-08-29T22:28:58Z,one_time
pay_Test_062,merch_002,Karan Patel,user062@example.com,+919872415804,49900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,2,2026-08-27T22:28:58Z,subscription
pay_Test_063,merch_003,Diya Reddy,user063@example.com,+919824508768,4999,INR,BAD_REQUEST_ERROR,MANDATE_REVOKED,customer,3,2026-08-20T20:28:58Z,b2b
pay_Test_064,merch_001,Sara Nair,user064@example.com,+919889470029,29900,INR,GATEWAY_ERROR,,network,1,2026-08-25T20:28:58Z,subscription
pay_Test_065,merch_003,Priya Sharma,user065@example.com,+919881503856,99900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-29T01:28:58Z,subscription
pay_Test_066,merch_001,Vikram Bose,user066@example.com,+919868186525,79900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-22T19:28:58Z,one_time
pay_Test_067,merch_004,Arjun Gupta,user067@example.com,+919872394301,99900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,2,2026-08-21T09:28:58Z,one_time
pay_Test_068,merch_004,Diya Gupta,user068@example.com,+919842730796,149900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-20T05:28:58Z,one_time
pay_Test_069,merch_004,Meera Reddy,user069@example.com,+919838470244,79900,INR,PAYMENT_CANCELLED,,customer,2,2026-08-25T09:28:58Z,b2b
pay_Test_070,merch_001,Rohan Khan,user070@example.com,+919879340535,29900,INR,PAYMENT_TIMEOUT,,customer,1,2026-08-24T02:28:58Z,subscription
pay_Test_071,merch_004,Ananya Bose,user071@example.com,+919812314351,9900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-23T19:28:58Z,one_time
pay_Test_072,merch_003,Meera Bose,user072@example.com,+919867110154,249900,INR,PAYMENT_TIMEOUT,,customer,1,2026-08-23T09:28:58Z,one_time
pay_Test_073,merch_003,Sara Nair,user073@example.com,+919826046365,249900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,3,2026-08-28T11:28:58Z,one_time
pay_Test_074,merch_003,Sara Rao,user074@example.com,+919823492385,29900,INR,PAYMENT_CANCELLED,,customer,1,2026-08-25T12:28:58Z,one_time
pay_Test_075,merch_001,Kabir Gupta,user075@example.com,+919817318358,249900,INR,PAYMENT_TIMEOUT,,customer,1,2026-08-27T21:28:58Z,b2b
pay_Test_076,merch_003,Aarav Rao,user076@example.com,+919873001391,149900,INR,PAYMENT_CANCELLED,,customer,1,2026-08-28T16:28:58Z,one_time
pay_Test_077,merch_004,Diya Patel,user077@example.com,+919876001106,9900,INR,BAD_REQUEST_ERROR,CARD_EXPIRED,bank,1,2026-08-20T16:28:58Z,one_time
pay_Test_078,merch_002,Rohan Patel,user078@example.com,+919825898299,249900,INR,BAD_REQUEST_ERROR,MANDATE_EXPIRED,bank,2,2026-08-20T22:28:58Z,subscription
pay_Test_079,merch_004,Arjun Iyer,user079@example.com,+919869421007,49900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,2,2026-08-24T08:28:58Z,subscription
pay_Test_080,merch_002,Sara Patel,user080@example.com,+919893955206,29900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-29T12:28:58Z,one_time
